"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042063","GO:0042063","gliogenesis","48/379","417/28928",0.115107913669065,8.7858620755111,18.4520388766943,8.50105051267876e-31,3.4641780839166e-27,2.22548553947706e-27,"Cspg5/Ptprz1/Olig1/Lrp1/Bcan/Atp1b2/Serpine2/Gpr37l1/Olig2/Kcnj10/Cspg4/Cntn1/Ascl1/Nlgn3/Sox10/Plpp3/Gpr17/Sox6/Qki/Stat3/Ptprj/Vcan/Ncan/Zcchc24/Ntrk2/Ptn/Metrn/Dbi/Zfp488/Etv5/Sirt2/Nkx2-2/Omg/Trf/Atxn1/Cntn2/Reln/Plp1/Cnp/Erbb3/Sox8/Clu/Fa2h/Wdr1/Prdm8/Pmp22/Bmp4/Dusp15",48
"GO:0010001","GO:0010001","glial cell differentiation","41/379","309/28928",0.132686084142395,10.1275542007156,18.5858439064625,7.2937575821581e-29,1.48610310736471e-25,9.54714479306694e-26,"Cspg5/Ptprz1/Olig1/Lrp1/Bcan/Serpine2/Gpr37l1/Olig2/Kcnj10/Cntn1/Ascl1/Nlgn3/Sox10/Plpp3/Gpr17/Sox6/Qki/Stat3/Ptprj/Vcan/Ncan/Ntrk2/Ptn/Metrn/Zfp488/Sirt2/Nkx2-2/Omg/Cntn2/Reln/Plp1/Cnp/Erbb3/Sox8/Clu/Fa2h/Wdr1/Prdm8/Pmp22/Bmp4/Dusp15",41
"GO:0048709","GO:0048709","oligodendrocyte differentiation","28/379","135/28928",0.207407407407407,15.8308218508746,19.9005232806943,1.42873330190442e-25,1.94069606842017e-22,1.24675779713554e-22,"Ptprz1/Olig1/Olig2/Kcnj10/Cntn1/Ascl1/Nlgn3/Sox10/Gpr17/Sox6/Qki/Ptprj/Ntrk2/Ptn/Zfp488/Sirt2/Nkx2-2/Omg/Cntn2/Plp1/Cnp/Sox8/Clu/Fa2h/Wdr1/Prdm8/Bmp4/Dusp15",28
"GO:0042552","GO:0042552","myelination","27/379","200/28928",0.135,10.3041688654354,15.2130305797571,1.46081465340631e-19,1.47257253171328e-16,9.46022056537533e-17,"Ptprz1/Gjc3/Olig2/Kcnj10/Cntn1/Sox10/Jam2/Qki/Pllp/Ugt8a/Ntrk2/Ptn/S100b/Zfp488/Sirt2/Serinc5/Omg/Trf/Cntn2/Plp1/Erbb3/Degs1/Clu/Fa2h/Nfasc/Fyn/Pmp22",27
"GO:0007272","GO:0007272","ensheathment of neurons","27/379","203/28928",0.133004926108374,10.1518905078181,15.0766435934873,2.16820495466986e-19,1.47257253171328e-16,9.46022056537533e-17,"Ptprz1/Gjc3/Olig2/Kcnj10/Cntn1/Sox10/Jam2/Qki/Pllp/Ugt8a/Ntrk2/Ptn/S100b/Zfp488/Sirt2/Serinc5/Omg/Trf/Cntn2/Plp1/Erbb3/Degs1/Clu/Fa2h/Nfasc/Fyn/Pmp22",27
"GO:0008366","GO:0008366","axon ensheathment","27/379","203/28928",0.133004926108374,10.1518905078181,15.0766435934873,2.16820495466986e-19,1.47257253171328e-16,9.46022056537533e-17,"Ptprz1/Gjc3/Olig2/Kcnj10/Cntn1/Sox10/Jam2/Qki/Pllp/Ugt8a/Ntrk2/Ptn/S100b/Zfp488/Sirt2/Serinc5/Omg/Trf/Cntn2/Plp1/Erbb3/Degs1/Clu/Fa2h/Nfasc/Fyn/Pmp22",27
"GO:0051962","GO:0051962","positive regulation of nervous system development","35/379","397/28928",0.0881612090680101,6.72909618976094,13.243376409756,7.01645355833195e-19,4.08457832145753e-16,2.62404812023632e-16,"Ptprz1/Lrp1/Bcan/Dscam/Serpine2/Olig2/Ascl1/Nlgn3/Adgrb1/Sox10/Grm5/Qki/Slitrk3/Vcan/Slitrk2/Ncan/Ntrk2/Ptn/Sox2/Metrn/Adgrl3/Il1rap/Zfp488/Lrrtm3/Sema5a/Etv5/Pik3r1/Nkx2-2/Prkca/Trf/Atxn1/Apoe/Reln/Sox8/Plxnb3",35
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","23/379","166/28928",0.13855421686747,10.5754522045968,14.255407893017,4.21062010667992e-17,2.14478461684008e-14,1.37787002701486e-14,"Neto1/Adora1/Nlgn3/P2rx7/Gria3/Gabra3/Chrna4/Rgs7/Rgs7bp/Grin3a/Dpp6/Chrna3/Gria1/Atxn1/Gabrg3/Tmem108/Igsf9b/Insyn2b/Reln/Gabrg1/Kcna1/Kcna2/Kcnd2",23
"GO:0050767","GO:0050767","regulation of neurogenesis","36/379","485/28928",0.0742268041237113,5.66552240023937,11.9387621499143,5.5874361247034e-17,2.52986691201849e-14,1.6252577359225e-14,"Ptprz1/Lrp1/Bcan/Dscam/Serpine2/Tnr/Gpr37l1/Olig2/Ascl1/Sox10/Grm5/Qki/Bmp7/Vcan/Hey2/Brinp1/Ncan/Zcchc24/Ntrk2/Ptn/Sox2/Metrn/Zfp488/Sema5a/Etv5/Sirt2/Nkx2-2/Trf/Atxn1/Bhlhe40/Apoe/Reln/Sox8/Plxnb3/B2m/Bmp4",36
"GO:0050890","GO:0050890","cognition","32/379","401/28928",0.0798004987531172,6.09094677554136,11.8281968698629,4.17736271998392e-16,1.70227530839345e-13,1.09358958785263e-13,"Ptprz1/Tnr/Neto1/Shc3/Shisa7/Adora1/Gatm/Nlgn3/Slc1a1/Gm2a/Grm5/Slc6a1/Chrna4/Atp1a2/Brinp1/Chl1/Ntrk2/Ptn/Ncam1/Dbi/Nrxn3/Mfsd2a/S100b/Ppt1/Gria1/Prkca/Atxn1/Apoe/Fzd9/Cntn2/Reln/B2m",32
"GO:0006898","GO:0006898","receptor-mediated endocytosis","27/379","286/28928",0.0944055944055944,7.20571249331144,12.1520304746086,1.458235739109e-15,5.40210057897197e-13,3.47046151498955e-13,"Lrp1/Cacng4/Susd4/Rab31/Nlgn3/Hip1/Itgav/Fchsd2/Tspan7/Cd81/Cav1/Dnm1/Sirt2/Ppt1/Gria1/Prkca/Trf/Calcrl/Dnm3/Dab2/Apoe/Tmem108/Cntn2/Clu/Cav2/Lmbrd1/B2m",27
"GO:0007626","GO:0007626","locomotory behavior","27/379","292/28928",0.0924657534246575,7.05764990783244,11.9871315577445,2.44363113137869e-15,8.2981640503068e-13,5.33097423134983e-13,"Dscam/Tnr/Kcnj10/Pcdh15/Cntn1/Slc1a1/Npas3/Grm5/Minar2/Chrna4/Atp1a2/Npc1/Chl1/Chrna3/Adgrl3/Olfm2/Etv5/Ppt1/Gria1/Atxn1/Apoe/Cntn2/Reln/Lsamp/Cnp/Kcnd2/Pmp22",27
"GO:0007611","GO:0007611","learning or memory","28/379","356/28928",0.0786516853932584,6.00326109513504,10.9441918578044,4.40902841154158e-14,1.38206082900246e-11,8.87874790243231e-12,"Ptprz1/Tnr/Neto1/Shc3/Shisa7/Gatm/Nlgn3/Slc1a1/Gm2a/Grm5/Slc6a1/Atp1a2/Brinp1/Ntrk2/Ptn/Ncam1/Dbi/Nrxn3/S100b/Ppt1/Gria1/Prkca/Atxn1/Apoe/Fzd9/Cntn2/Reln/B2m",28
"GO:0007416","GO:0007416","synapse assembly","26/379","304/28928",0.0855263157894737,6.52798222469102,11.1638532898869,5.17479884920408e-14,1.50623609360762e-11,9.67648476539139e-12,"Dscam/Nlgn3/Adgrb1/C1ql2/Zdhhc2/Dock10/Gabra3/Slitrk3/Csmd2/Pcdh17/Slitrk2/Ntrk2/Nrxn3/Adgrl3/Il1rap/Lrrtm3/Mdga2/Pik3r1/Gria1/Prkca/Dnm3/Gabrg3/Reln/Elfn1/Gabrg1/Plxnb3",26
"GO:0021782","GO:0021782","glial cell development","19/379","147/28928",0.129251700680272,9.86541740706837,12.4159732504161,8.6482304424068e-14,2.34943593685385e-11,1.50934379721163e-11,"Cspg5/Olig1/Lrp1/Kcnj10/Cntn1/Ascl1/Sox10/Ntrk2/Zfp488/Sirt2/Nkx2-2/Omg/Cntn2/Plp1/Erbb3/Clu/Fa2h/Prdm8/Pmp22",19
"GO:0045664","GO:0045664","regulation of neuron differentiation","23/379","247/28928",0.0931174089068826,7.10738893102454,11.106641706014,2.57295868133845e-13,6.55300414153385e-11,4.20983436874258e-11,"Rap1gap/Gpr37l1/Olig2/Ascl1/Eya1/Ednrb/Brinp3/Bmp7/Mmd2/Cav1/Hey2/Brinp1/Sox2/S100b/Timp2/Etv5/Nkx2-2/Cntn2/Reln/Sox8/Neurod1/B2m/Bmp4",23
"GO:0014003","GO:0014003","oligodendrocyte development","13/379","57/28928",0.228070175438596,17.407952599176,14.2868590353849,3.97230723423518e-13,9.1311967295639e-11,5.86613787960618e-11,"Olig1/Kcnj10/Cntn1/Ascl1/Sox10/Zfp488/Nkx2-2/Omg/Cntn2/Plp1/Clu/Fa2h/Prdm8",13
"GO:0050769","GO:0050769","positive regulation of neurogenesis","26/379","332/28928",0.0783132530120482,5.97742950694599,10.5098705815656,4.0334120523227e-13,9.1311967295639e-11,5.86613787960618e-11,"Ptprz1/Lrp1/Bcan/Dscam/Serpine2/Olig2/Ascl1/Sox10/Grm5/Qki/Vcan/Ncan/Ntrk2/Ptn/Sox2/Metrn/Zfp488/Sema5a/Etv5/Nkx2-2/Trf/Atxn1/Apoe/Reln/Sox8/Plxnb3",26
"GO:0031644","GO:0031644","regulation of nervous system process","19/379","173/28928",0.109826589595376,8.38275351930087,11.2217499532186,1.6934577498642e-12,3.63202122668243e-10,2.3333127002284e-10,"Cacng4/Tnr/Neto1/Shisa7/Adora1/Nlgn3/Sox10/Jam2/Qki/Tmem100/S100b/Zfp488/Shisa9/Gria1/Trf/Tmem108/Igsf9b/Reln/Shisa6",19
"GO:0031346","GO:0031346","positive regulation of cell projection organization","29/379","471/28928",0.0615711252653928,4.69955016273689,9.32697192425652,7.07994754041626e-12,1.44253931135981e-09,9.26727870158697e-10,"Ptprz1/Lrp1/Dscam/Atp1b2/Serpine2/Cntn1/P2rx7/Arsb/Qki/Cdc42ep1/Bmp7/Plppr5/Rit2/Ntrk2/Scn1b/Frmd7/Ptn/Metrn/Sema5a/Pik3r1/Dnm3/Apoe/Rab8b/Enc1/Reln/Plxnb3/Fyn/Rhoq/Bmp4",29
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","20/379","231/28928",0.0865800865800866,6.60841357411278,9.86060643762394,3.59287074391262e-11,6.97188013402092e-09,4.47893210030611e-09,"Dscam/Pcdh15/Lrrc4c/Sparcl1/Pcdh10/Slitrk3/Fgfrl1/Pcdh17/Slitrk2/Cdh19/Adgrl3/Il1rap/Mdga2/Ptprt/Cadm2/Igsf9b/Cdh11/Celsr3/Elfn1/Plxnb3",20
"GO:0030900","GO:0030900","forebrain development","28/379","480/28928",0.0583333333333333,4.45241864555849,8.78808107687223,5.80574194119646e-11,1.07538174592616e-08,6.90855512332804e-09,"Bcan/Atp1b2/Tnr/Olig2/Ascl1/Atp1a2/Ntrk2/Sox2/Ncam1/Dbi/Mfsd2a/Fabp7/Sema5a/Gria1/Nhlh2/Tmem108/Cntn2/Reln/Cnp/Lhx1/Kcna1/Kcna2/Neurod1/B2m/Fyn/Prdm8/Gsx1/Bmp4",28
"GO:0014013","GO:0014013","regulation of gliogenesis","16/379","144/28928",0.111111111111111,8.4807974201114,10.3688220159172,8.25511098457849e-11,1.46259031574597e-08,9.39609199938065e-09,"Ptprz1/Serpine2/Gpr37l1/Olig2/Sox10/Qki/Zcchc24/Ptn/Zfp488/Etv5/Sirt2/Nkx2-2/Trf/Atxn1/Sox8/Bmp4",16
"GO:0050803","GO:0050803","regulation of synapse structure or activity","25/379","398/28928",0.0628140703517588,4.79442065207303,8.78237501862381,1.36255101362972e-10,2.31349807522546e-08,1.48625630302505e-08,"Sparcl1/Nlgn3/Adgrb1/C1ql2/Dock10/Slitrk3/Slitrk2/Ncan/Ntrk2/Ptn/Adgrl3/Il1rap/Lrrtm3/Etv5/Mdga2/Pik3r1/Prkca/Ptprt/Dnm3/Apoe/Reln/Slc17a6/Sparc/Grid1/Fyn",25
"GO:0035249","GO:0035249","synaptic transmission, glutamatergic","15/379","128/28928",0.1171875,8.94459102902375,10.3790149847939,1.50840207168299e-10,2.45869537684328e-08,1.57953513780025e-08,"Cacng4/Serpine2/Tnr/Shc3/Adora1/Nlgn3/Gria3/Grm5/Grik3/Grin3a/Ntrk2/Gria1/Reln/Slc17a6/Grid1",15
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport","24/379","375/28928",0.064,4.88493931398417,8.72468694613939,2.20067652585809e-10,3.44913724725836e-08,2.2158228825138e-08,"Atp1b2/Neto1/Kcnj10/Kcnip3/Nlgn3/P2rx7/Slc6a9/Rgs7/Kcnj16/Cav1/Dpp6/Atp1a2/Scn1b/Atp1b1/Adcyap1r1/Dbi/Ehd3/Gria1/Kcnip1/Reln/Plp1/Cacna2d1/Fyn/Bmp4",24
"GO:0099173","GO:0099173","postsynapse organization","22/379","314/28928",0.0700636942675159,5.34776397828681,8.9251875334814,2.29357998864833e-10,3.46160683471924e-08,2.22383369659587e-08,"Shisa7/Nlgn3/Adgrb1/C1ql2/Zdhhc2/Dock10/Slitrk3/Csmd2/Ncan/Ptn/Nrxn3/Adgrl3/Il1rap/Etv5/Dnm3/Apoe/Tmem108/Fzd9/Reln/Shisa6/Grid1/Fyn",22
"GO:0031589","GO:0031589","cell-substrate adhesion","24/379","377/28928",0.0636604774535809,4.8590245165625,8.68987247644214,2.45147718628994e-10,3.56777483361839e-08,2.29203900838461e-08,"Cspg5/Ptprz1/Lrp1/Bcan/Atp1b2/Prex1/Spry4/Itgav/Rin2/Ttyh1/Antxr1/Adam9/Itgb8/Ptprj/Ptn/Ajap1/Sorbs3/Pik3r1/Rsu1/Dab2/Cdh11/Cntn2/Lims2/Epdr1",24
"GO:0019226","GO:0019226","transmission of nerve impulse","14/379","114/28928",0.12280701754386,9.37351293801787,10.3212951621607,3.30540584605484e-10,4.64466511126672e-08,2.98386364397038e-08,"Cacng4/Tnr/P2rx7/Chrna4/Dpp6/Atp1a2/Ntrk2/Scn1b/Gria1/Kcna1/Kcna2/Nfasc/Kcnd2/Pmp22",14
"GO:2000177","GO:2000177","regulation of neural precursor cell proliferation","15/379","137/28928",0.109489051094891,8.35699015850394,9.94507210802843,3.98232229757672e-10,5.40932112087505e-08,3.47510019441169e-08,"Ptprz1/Bcan/Gpr37l1/Ascl1/Sox10/Vcan/Ncan/Ptn/Sox2/Sirt2/Rsu1/Trf/Fzd9/Lims2/Lhx1",15
"GO:0071805","GO:0071805","potassium ion transmembrane transport","18/379","212/28928",0.0849056603773585,6.48060934933041,9.22806527479955,4.77454757071669e-10,6.18873201132903e-08,3.97581569575081e-08,"Atp1b2/Neto1/Kcnj10/Kcnip3/Slc9a9/Rgs7/Slc1a3/Kcnj16/Cav1/Dpp6/Atp1a2/Atp1b1/Slc12a4/Kcnip1/Slc17a6/Kcna1/Kcna2/Kcnd2",18
"GO:0050807","GO:0050807","regulation of synapse organization","24/379","390/28928",0.0615384615384615,4.69705703267709,8.46939794990591,4.85986317454059e-10,6.18873201132903e-08,3.97581569575081e-08,"Sparcl1/Nlgn3/Adgrb1/C1ql2/Dock10/Slitrk3/Slitrk2/Ncan/Ntrk2/Ptn/Adgrl3/Il1rap/Lrrtm3/Etv5/Mdga2/Pik3r1/Prkca/Ptprt/Dnm3/Apoe/Reln/Sparc/Grid1/Fyn",24
"GO:0010976","GO:0010976","positive regulation of neuron projection development","19/379","241/28928",0.0788381742738589,6.01749526489232,9.01215761100283,5.51963877992336e-10,6.8159175842993e-08,4.37873736703968e-08,"Ptprz1/Lrp1/Atp1b2/Serpine2/Cntn1/Arsb/Qki/Bmp7/Plppr5/Rit2/Ntrk2/Scn1b/Ptn/Apoe/Enc1/Reln/Plxnb3/Fyn/Bmp4",19
"GO:0045685","GO:0045685","regulation of glial cell differentiation","13/379","99/28928",0.131313131313131,10.0227605874044,10.3613917603643,6.11486063881465e-10,7.32884032446168e-08,4.70825337731642e-08,"Ptprz1/Serpine2/Gpr37l1/Olig2/Qki/Ptn/Zfp488/Sirt2/Nkx2-2/Cntn2/Wdr1/Bmp4/Dusp15",13
"GO:0031623","GO:0031623","receptor internalization","16/379","165/28928",0.096969696969697,7.40142320300632,9.50117404391237,6.36588874583509e-10,7.411713325508e-08,4.76149332658402e-08,"Lrp1/Cacng4/Susd4/Rab31/Hip1/Tspan7/Cd81/Cav1/Dnm1/Sirt2/Gria1/Calcrl/Dnm3/Dab2/Cntn2/Lmbrd1",16
"GO:0006813","GO:0006813","potassium ion transport","19/379","249/28928",0.0763052208835341,5.82416208369096,8.8087729293549,9.56025826209506e-10,1.08216812272326e-07,6.95215271866387e-08,"Atp1b2/Neto1/Kcnj10/Kcnip3/Adora1/Slc9a9/Rgs7/Slc1a3/Kcnj16/Cav1/Dpp6/Atp1a2/Atp1b1/Slc12a4/Kcnip1/Slc17a6/Kcna1/Kcna2/Kcnd2",19
"GO:0030100","GO:0030100","regulation of endocytosis","22/379","355/28928",0.0619718309859155,4.73013489910439,8.14773033270812,2.28892278173586e-09,2.52090819880369e-07,1.61950240630927e-07,"Lrp1/Rap1gap/Susd4/Rab31/Hip1/Itgav/Epn2/Tspan7/Ptprj/Scamp5/Cav1/Rit2/Dnm1/Sirt2/Ppt1/Prkca/Trf/Dab2/Apoe/Clu/B2m/Cnn2",22
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","24/379","432/28928",0.0555555555555556,4.2403987100557,7.81851413112339,3.68614663977896e-09,3.95290725186823e-07,2.53945891776462e-07,"Sulf2/Rap1gap/Ptprn/Eya1/Ednrb/F3/Stat3/Cav1/Ptn/Sox2/Sema5a/Prkca/Dab2/Apoe/Lims2/Nr4a1/Sparc/Cav2/Tgfa/Fa2h/Plxnb3/B2m/Ppp1r16b/Bmp4",24
"GO:0014015","GO:0014015","positive regulation of gliogenesis","12/379","94/28928",0.127659574468085,9.7438949082131,9.78345521837745,3.91269813911643e-09,4.01223098511893e-07,2.57757015434053e-07,"Ptprz1/Serpine2/Olig2/Sox10/Qki/Ptn/Zfp488/Etv5/Nkx2-2/Trf/Atxn1/Sox8",12
"GO:0099560","GO:0099560","synaptic membrane adhesion","9/379","43/28928",0.209302325581395,15.9754556053261,11.3228026620695,3.93838624306152e-09,4.01223098511893e-07,2.57757015434053e-07,"Lrrc4c/Sparcl1/Slitrk3/Pcdh17/Slitrk2/Il1rap/Mdga2/Igsf9b/Elfn1",9
"GO:0048713","GO:0048713","regulation of oligodendrocyte differentiation","10/379","59/28928",0.169491525423729,12.9368096238988,10.5748509679519,4.70057248569329e-09,4.67191045834151e-07,3.00136682205885e-07,"Ptprz1/Olig2/Qki/Ptn/Zfp488/Sirt2/Nkx2-2/Wdr1/Bmp4/Dusp15",10
"GO:0031345","GO:0031345","negative regulation of cell projection organization","17/379","218/28928",0.0779816513761468,5.95211929026167,8.45626532060583,5.31310981112257e-09,5.1549815429344e-07,3.31170528828618e-07,"Ptprz1/Lrp1/Xylt1/Rap1gap/Tnr/Cspg4/Nlgn3/Rit2/Neu4/Sema5a/Dnm3/Dab2/Apoe/Plxnb3/B2m/Fyn/Pmp22",17
"GO:0099072","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","15/379","166/28928",0.0903614457831325,6.89703404647614,8.77918075254664,5.80756974085174e-09,5.50368527766763e-07,3.53572238567889e-07,"Lrp1/Cacng4/Neto1/Susd4/C1ql2/Zdhhc2/Hip1/Tspan7/Nrxn3/Olfm2/Sirt2/Dnm3/Tmem108/Shisa6/Grid1",15
"GO:0010959","GO:0010959","regulation of metal ion transport","24/379","447/28928",0.0536912751677852,4.098103451329,7.60585274157962,7.15193866978149e-09,6.62367047258172e-07,4.25523240950875e-07,"Atp1b2/Serpine2/Neto1/Kcnip3/Cntn1/Plpp4/Adora1/P2rx7/Rgs7/Cav1/Dpp6/Atp1a2/Scn1b/Atp1b1/Adcyap1r1/Dbi/Ehd3/Trf/Kcnip1/Plp1/Cacna2d1/B2m/Fyn/Bmp4",24
"GO:0022010","GO:0022010","central nervous system myelination","8/379","33/28928",0.242424242424242,18.5035580075158,11.5917181064336,8.41127517772011e-09,7.45129268461075e-07,4.78692022127916e-07,"Kcnj10/Cntn1/Sox10/Omg/Cntn2/Plp1/Clu/Fa2h",8
"GO:0032291","GO:0032291","axon ensheathment in central nervous system","8/379","33/28928",0.242424242424242,18.5035580075158,11.5917181064336,8.41127517772011e-09,7.45129268461075e-07,4.78692022127916e-07,"Kcnj10/Cntn1/Sox10/Omg/Cntn2/Plp1/Clu/Fa2h",8
"GO:0030534","GO:0030534","adult behavior","16/379","198/28928",0.0808080808080808,6.16785266917193,8.40718798632141,9.05024776589326e-09,7.84675737149256e-07,5.04097787094659e-07,"Kcnj10/Pcdh15/Nlgn3/Slc1a1/Chrna4/Atp1a2/Pcdh17/Npc1/Chl1/Chrna3/Nrxn3/Ppt1/Atxn1/Cntn2/Cnp/Pmp22",16
"GO:0010038","GO:0010038","response to metal ion","22/379","384/28928",0.0572916666666667,4.37291116974494,7.66635545875375,9.59693211495683e-09,8.14739549342689e-07,5.23411626532843e-07,"Kcnj10/Pcdh15/Kcnip3/Gatm/Slc1a1/P2rx7/Cp/Adam9/Mt2/Cpne2/Cav1/Atp1a2/Npc1/Sox2/Ncam1/Gria1/Lcat/Trf/Cpne8/Kcna1/B2m/Anxa5",22
"GO:2000179","GO:2000179","positive regulation of neural precursor cell proliferation","11/379","83/28928",0.132530120481928,10.1156499348317,9.58224489032802,1.17350108745684e-08,9.66314817230602e-07,6.20787846419763e-07,"Bcan/Gpr37l1/Ascl1/Sox10/Vcan/Ncan/Sox2/Rsu1/Trf/Fzd9/Lhx1",11
"GO:0061351","GO:0061351","neural precursor cell proliferation","17/379","230/28928",0.0739130434782609,5.64157393598715,8.14290236625712,1.18566235243019e-08,9.66314817230602e-07,6.20787846419763e-07,"Ptprz1/Bcan/Gpr37l1/Ascl1/Sox10/Vcan/Ncan/Ptn/Sox2/Fabp7/Sirt2/Rsu1/Trf/Fzd9/Lims2/Lhx1/Kcna1",17
"GO:0008016","GO:0008016","regulation of heart contraction","16/379","205/28928",0.0780487804878049,5.95724306583435,8.20688027555501,1.48428013667066e-08,1.18596893273195e-06,7.61899834860666e-07,"Epas1/S100a1/Adora1/Slc1a1/Ednrb/Cav1/Atp1a2/Hey2/Scn1b/Atp1b1/Ehd3/Pik3r1/Prkca/Kcnip1/Cacna2d1/Kcnd2",16
"GO:0035640","GO:0035640","exploration behavior","9/379","50/28928",0.18,13.7388918205805,10.387450044738,1.61395499969685e-08,1.240918230899e-06,7.97200811171018e-07,"Tnr/Brinp3/Minar2/Chrna4/Atp1a2/Brinp1/Chl1/Apoe/Lsamp",9
"GO:0086009","GO:0086009","membrane repolarization","9/379","50/28928",0.18,13.7388918205805,10.387450044738,1.61395499969685e-08,1.240918230899e-06,7.97200811171018e-07,"Atp1b2/Cav1/Scn1b/Atp1b1/Kcnip1/Cacna2d1/Kcna1/Wdr1/Kcnd2",9
"GO:0048863","GO:0048863","stem cell differentiation","19/379","297/28928",0.063973063973064,4.88288336309444,7.74979409304629,1.72829773698593e-08,1.28759660230604e-06,8.27188311252213e-07,"Pdgfra/Sox10/Zfp36l2/Ednrb/Ttyh1/Sox6/Sema3d/Sema5b/Stat3/Bmp7/Shc4/Ptn/Sox2/Zic2/Lbh/Sema5a/Prkca/Sox8/Bmp4",19
"GO:0031099","GO:0031099","regeneration","17/379","236/28928",0.0720338983050847,5.49814409015697,7.99438033433134,1.73786044483024e-08,1.28759660230604e-06,8.27188311252213e-07,"Cspg5/Lrp1/Xylt1/Sulf2/Tnr/Cpt1a/Cpq/Prrx1/Cd81/Chl1/Lifr/Ptn/Sox2/Mmp2/Omg/Fzd9/Tnc",17
