"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097475","GO:0097475","motor neuron migration","3/16","15/28928",0.2,361.6,32.8622575742059,6.29047506170902e-08,3.26778450133547e-05,1.46748001676642e-05,"Reln/Lhx1/Celsr3",3
"GO:0030900","GO:0030900","forebrain development","6/16","480/28928",0.0125,22.6,11.225898771947,1.40700810966524e-07,3.26778450133547e-05,1.46748001676642e-05,"Nhlh2/Cntn2/Reln/Lhx1/Neurod1/Prdm8",6
"GO:0007411","GO:0007411","axon guidance","5/16","258/28928",0.0193798449612403,35.0387596899225,12.9194003008098,2.18820555701312e-07,3.26778450133547e-05,1.46748001676642e-05,"Zic2/Cntn2/Reln/Lhx1/Celsr3",5
"GO:0097485","GO:0097485","neuron projection guidance","5/16","259/28928",0.0193050193050193,34.9034749034749,12.8931918297806,2.23056962548496e-07,3.26778450133547e-05,1.46748001676642e-05,"Zic2/Cntn2/Reln/Lhx1/Celsr3",5
"GO:0021537","GO:0021537","telencephalon development","5/16","322/28928",0.015527950310559,28.0745341614907,11.4929887925047,6.54316826515961e-07,7.66859320676707e-05,3.44377277113664e-05,"Cntn2/Reln/Lhx1/Neurod1/Prdm8",5
"GO:0001764","GO:0001764","neuron migration","4/16","216/28928",0.0185185185185185,33.4814814814815,11.2720680933306,5.12816258463524e-06,0.000500850545766042,0.000224919411606809,"Cntn2/Reln/Lhx1/Celsr3",4
"GO:0021953","GO:0021953","central nervous system neuron differentiation","4/16","253/28928",0.0158102766798419,28.5849802371541,10.3670178418575,9.57323201069329e-06,0.000801416279752324,0.000359895940251628,"Nhlh2/Cntn2/Lhx1/Prdm8",4
"GO:0021954","GO:0021954","central nervous system neuron development","3/16","111/28928",0.027027027027027,48.8648648648649,11.8857492755706,2.96894931079283e-05,0.00217475537015575,0.000976628062760798,"Nhlh2/Cntn2/Prdm8",3
"GO:1904936","GO:1904936","interneuron migration","2/16","17/28928",0.117647058823529,212.705882352941,20.5399059475525,3.88173837889992e-05,0.00252744298892817,0.00113501122190056,"Cntn2/Reln",2
"GO:0021761","GO:0021761","limbic system development","3/16","135/28928",0.0222222222222222,40.1777777777778,10.7333636997013,5.32395958066283e-05,0.00311984031426842,0.00140104199491127,"Nhlh2/Reln/Neurod1",3
"GO:0043010","GO:0043010","camera-type eye development","4/16","423/28928",0.00945626477541371,17.096926713948,7.84558350731132,7.13639536890362e-05,0.00380175244197957,0.00170727161935493,"Slc17a6/Lhx1/Mab21l1/Neurod1",4
"GO:0007413","GO:0007413","axonal fasciculation","2/16","26/28928",0.0769230769230769,139.076923076923,16.5697687641653,9.24931740110188e-05,0.00392677150313531,0.00176341454245343,"Cntn2/Celsr3",2
"GO:0106030","GO:0106030","neuron projection fasciculation","2/16","26/28928",0.0769230769230769,139.076923076923,16.5697687641653,9.24931740110188e-05,0.00392677150313531,0.00176341454245343,"Cntn2/Celsr3",2
"GO:0003002","GO:0003002","regionalization","4/16","454/28928",0.00881057268722467,15.9295154185022,7.54261636822776,9.38136536585227e-05,0.00392677150313531,0.00176341454245343,"Zic2/Reln/Lhx1/Neurod1",4
"GO:0001654","GO:0001654","eye development","4/16","473/28928",0.00845665961945032,15.2896405919662,7.37131894150255,0.000109890790826193,0.00402513345997242,0.00180758642894396,"Slc17a6/Lhx1/Mab21l1/Neurod1",4
"GO:0150063","GO:0150063","visual system development","4/16","476/28928",0.00840336134453781,15.1932773109244,7.34517903632552,0.000112601443140342,0.00402513345997242,0.00180758642894396,"Slc17a6/Lhx1/Mab21l1/Neurod1",4
"GO:0048880","GO:0048880","sensory system development","4/16","483/28928",0.0082815734989648,14.9730848861284,7.28509996098737,0.00011911547766961,0.00402513345997242,0.00180758642894396,"Slc17a6/Lhx1/Mab21l1/Neurod1",4
"GO:0021542","GO:0021542","dentate gyrus development","2/16","30/28928",0.0666666666666667,120.533333333333,15.4094942819051,0.000123638911739767,0.00402513345997242,0.00180758642894396,"Reln/Neurod1",2
"GO:0030902","GO:0030902","hindbrain development","3/16","206/28928",0.0145631067961165,26.3300970873786,8.58293349028657,0.00018611943935551,0.00574031534012257,0.00257783157002091,"Nhlh2/Lhx1/Neurod1",3
