"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042063","GO:0042063","gliogenesis","45/363","417/28928",0.107913669064748,8.59979784767228,17.6218596873104,1.64038943204015e-28,6.57140006475284e-25,4.26155907186851e-25,"Cspg5/Ptprz1/Olig1/Lrp1/Bcan/Atp1b2/Serpine2/Gpr37l1/Olig2/Kcnj10/Cspg4/Cntn1/Ascl1/Nlgn3/Sox10/Plpp3/Gpr17/Sox6/Qki/Stat3/Ptprj/Vcan/Ncan/Zcchc24/Ntrk2/Ptn/Metrn/Dbi/Zfp488/Etv5/Sirt2/Nkx2-2/Omg/Trf/Atxn1/Plp1/Cnp/Erbb3/Sox8/Clu/Fa2h/Wdr1/Pmp22/Bmp4/Dusp15",45
"GO:0010001","GO:0010001","glial cell differentiation","38/363","309/28928",0.122977346278317,9.80024427862027,17.5321281336883,2.83633988021245e-26,5.68118878006553e-23,3.68425622334964e-23,"Cspg5/Ptprz1/Olig1/Lrp1/Bcan/Serpine2/Gpr37l1/Olig2/Kcnj10/Cntn1/Ascl1/Nlgn3/Sox10/Plpp3/Gpr17/Sox6/Qki/Stat3/Ptprj/Vcan/Ncan/Ntrk2/Ptn/Metrn/Zfp488/Sirt2/Nkx2-2/Omg/Plp1/Cnp/Erbb3/Sox8/Clu/Fa2h/Wdr1/Pmp22/Bmp4/Dusp15",38
"GO:0048709","GO:0048709","oligodendrocyte differentiation","26/363","135/28928",0.192592592592593,15.3479848995001,18.8365877320476,1.99322921637421e-23,2.66162541359836e-20,1.72606656351282e-20,"Ptprz1/Olig1/Olig2/Kcnj10/Cntn1/Ascl1/Nlgn3/Sox10/Gpr17/Sox6/Qki/Ptprj/Ntrk2/Ptn/Zfp488/Sirt2/Nkx2-2/Omg/Plp1/Cnp/Sox8/Clu/Fa2h/Wdr1/Bmp4/Dusp15",26
"GO:0042552","GO:0042552","myelination","26/363","200/28928",0.13,10.3598898071625,14.9734174890694,6.29107339412614e-19,6.13831531953873e-16,3.98070321061082e-16,"Ptprz1/Gjc3/Olig2/Kcnj10/Cntn1/Sox10/Jam2/Qki/Pllp/Ugt8a/Ntrk2/Ptn/S100b/Zfp488/Sirt2/Serinc5/Omg/Trf/Plp1/Erbb3/Degs1/Clu/Fa2h/Nfasc/Fyn/Pmp22",26
"GO:0007272","GO:0007272","ensheathment of neurons","26/363","203/28928",0.12807881773399,10.2067879873523,14.8393213183569,9.19368245562466e-19,6.13831531953873e-16,3.98070321061082e-16,"Ptprz1/Gjc3/Olig2/Kcnj10/Cntn1/Sox10/Jam2/Qki/Pllp/Ugt8a/Ntrk2/Ptn/S100b/Zfp488/Sirt2/Serinc5/Omg/Trf/Plp1/Erbb3/Degs1/Clu/Fa2h/Nfasc/Fyn/Pmp22",26
"GO:0008366","GO:0008366","axon ensheathment","26/363","203/28928",0.12807881773399,10.2067879873523,14.8393213183569,9.19368245562466e-19,6.13831531953873e-16,3.98070321061082e-16,"Ptprz1/Gjc3/Olig2/Kcnj10/Cntn1/Sox10/Jam2/Qki/Pllp/Ugt8a/Ntrk2/Ptn/S100b/Zfp488/Sirt2/Serinc5/Omg/Trf/Plp1/Erbb3/Degs1/Clu/Fa2h/Nfasc/Fyn/Pmp22",26
"GO:0051962","GO:0051962","positive regulation of nervous system development","34/363","397/28928",0.0856423173803526,6.82496131454226,13.1740011807109,1.45704956350183e-18,8.33848650198335e-16,5.40751627477071e-16,"Ptprz1/Lrp1/Bcan/Dscam/Serpine2/Olig2/Ascl1/Nlgn3/Adgrb1/Sox10/Grm5/Qki/Slitrk3/Vcan/Slitrk2/Ncan/Ntrk2/Ptn/Sox2/Metrn/Adgrl3/Il1rap/Zfp488/Lrrtm3/Sema5a/Etv5/Pik3r1/Nkx2-2/Prkca/Trf/Atxn1/Apoe/Sox8/Plxnb3",34
"GO:0050767","GO:0050767","regulation of neurogenesis","35/363","485/28928",0.0721649484536082,5.75093010706881,11.8945962830748,9.63730811285581e-17,4.82588203751255e-14,3.12958900296423e-14,"Ptprz1/Lrp1/Bcan/Dscam/Serpine2/Tnr/Gpr37l1/Olig2/Ascl1/Sox10/Grm5/Qki/Bmp7/Vcan/Hey2/Brinp1/Ncan/Zcchc24/Ntrk2/Ptn/Sox2/Metrn/Zfp488/Sema5a/Etv5/Sirt2/Nkx2-2/Trf/Atxn1/Bhlhe40/Apoe/Sox8/Plxnb3/B2m/Bmp4",35
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","21/363","166/28928",0.126506024096386,10.0814497660062,13.2277989110803,2.76787309350204e-15,1.23201106806324e-12,7.9896032687287e-13,"Neto1/Adora1/Nlgn3/P2rx7/Gria3/Gabra3/Chrna4/Rgs7/Rgs7bp/Grin3a/Dpp6/Gria1/Atxn1/Gabrg3/Tmem108/Igsf9b/Insyn2b/Gabrg1/Kcna1/Kcna2/Kcnd2",21
"GO:0006898","GO:0006898","receptor-mediated endocytosis","26/363","286/28928",0.0909090909090909,7.24467818682695,11.9640799030158,4.3969373732294e-15,1.7614131117157e-12,1.1422780460137e-12,"Lrp1/Cacng4/Susd4/Rab31/Nlgn3/Hip1/Itgav/Fchsd2/Tspan7/Cd81/Cav1/Dnm1/Sirt2/Ppt1/Gria1/Prkca/Trf/Calcrl/Dnm3/Dab2/Apoe/Tmem108/Clu/Cav2/Lmbrd1/B2m",26
"GO:0050890","GO:0050890","cognition","30/363","401/28928",0.0748129675810474,5.96195461758826,11.2793693784769,6.35008642864742e-15,2.3125860211965e-12,1.49971419195233e-12,"Ptprz1/Tnr/Neto1/Shc3/Shisa7/Adora1/Gatm/Nlgn3/Slc1a1/Gm2a/Grm5/Slc6a1/Chrna4/Atp1a2/Brinp1/Chl1/Ntrk2/Ptn/Ncam1/Dbi/Nrxn3/Mfsd2a/S100b/Ppt1/Gria1/Prkca/Atxn1/Apoe/Fzd9/B2m",30
