,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,Label
1,HALLMARK_ADIPOGENESIS,0.00020734,0.000664328,0.523746037,1.645311158,1,200,"Sparcl1, Enpp2, Me1, Apoe, Lifr, Phldb1, Gpam, Bcl6, Acox1, Dhrs7, Cd151, Abca1, Reep5, Aldh2, Slc25a1, Etfb, Lama4, Aplp2, Stom, Dgat1, Rab34, Lpcat3, Scarb1, Gpx3, Mgll, Ubqln1, Cat, Ddt, Ptcd3, Cdkn2c, Acadl, Cox6a1, Dram2, Crat, Tank, Mtarc2, Arl4a, Aco2, Pgm1, Uqcrc1, Rreb1, Ndufb7, Elovl6, Sowahc, Sod1, Ifngr1, Hadh, Cox8a, Preb, Sdhb, Cyc1, Uqcr10, Idh3a, Uqcrq, Ucp2, Rtn3, Gphn, Slc27a1, Grpel1, Ubc, Gpat4, Ech1, Dbt, Cs, Prdx3, Mtch2, Pfkfb3, Cpt2, Sncg, Elmod3, Chchd10, Idh1, Scp2, Sdhc, Acadm, Idh3g, Angpt1, Lpl",Sox2+
2,HALLMARK_ALLOGRAFT_REJECTION,0.421217174,0.478655879,0.331049702,1.0364747,4041,188,"B2m, Degs1, Tlr3, Csf1, Lyn, Ifnar2, Jak2, Il18, Srgn, Stat1, Bcl3, Ccnd3, Krt1, Ache, Wars1, Icam1, Cd47, Ripk2, Ifngr1, Prkcg, Tgfb2, Fcgr2b, Psmb10, Ets1, Galnt1, Tap2, Irf8, H2-DMa, Nos2, Tap1, Il1b, Abce1, H2-DMb2, Hif1a, Ifngr2",Sox2+
3,HALLMARK_ANDROGEN_RESPONSE,0.00011325,0.000664328,0.636464183,1.882103023,0,94,"Itgav, Abhd2, Gucy1a1, B2m, Lifr, Dbi, Sgk1, Elovl5, Pdlim5, Arxes2, Sat1, Hmgcs1, Dhcr24, Fads1, Ccnd1, Selenop, Mertk, Ank, Maf, Hpgd, Akap12, Vapa, Ncoa4, Ccnd3, Cenpn, Arid5b, Idi1, Cdc14b, Abcc4, Ngly1, Adamts1, Ell2, Ube2j1, Camkk2, Bmpr1b, Srf, Hmgcr, Sord, Pias1, Plpp1",Sox2+
4,HALLMARK_ANGIOGENESIS,0.050865656,0.077069175,0.569175022,1.47793384,378,36,"Itgav, Vcan, Vegfa, Tnfrsf21, Jag1, Lrpap1, Fgfr1",Sox2+
5,HALLMARK_APICAL_JUNCTION,0.000103702,0.000664328,0.597982466,1.877870983,0,199,"Cntn1, Cadm2, Sdc3, Cldn11, Vcan, Nlgn3, Cnn2, Cdh11, Nfasc, Mmp2, Sorbs3, Rsu1, Adam9, Mpzl1, Nrxn2, Cdh6, Rras, Nlgn2, Gnai2, Epb41l2, Pcdh1, Itga9, Sirpa, Jam3, Msn, Bmp1, Gnai1, Skap2, Itgb1, Vcl, Sgce, Shroom2, Cd276, Pik3cb, Src, Tjp1, Fbn1, Lima1, Nectin1, Crat, Tnfrsf11b, Fscn1, Inppl1, Adam15, Cercam, Nherf4, Amigo2, Nf1, Icam1, Pten, Cap1, Actg1, Vcam1, Pfn1, Arpc2, Hadh, Adamts5, Cx3cl1, Myl9, Calb2, Dlg1",Sox2+
6,HALLMARK_APICAL_SURFACE,0.116458628,0.161748095,0.501178554,1.342321613,904,44,"Sulf2, Afap1l2, Lyn, Shroom2, Flot2, Gstm5",Sox2+
7,HALLMARK_APOPTOSIS,0.000740192,0.001850481,0.533148764,1.655127278,6,161,"Timp2, Clu, Mmp2, Erbb3, Ppt1, Cav1, Timp3, Ifitm3, Pea15a, Ier3, Dpyd, Plat, Sat1, Ebp, Ccnd1, Casp4, Cdkn1a, Ank, Il18, Plppr4, Hmox1, Gpx3, Bcap31, Cyld, Gsn, Bgn, Sc5d, Casp7, Fez1, Casp8, Eno2, Cd38, Add1, Rela, Sod1, Sqstm1, Top2a, Ifngr1, Cd44, Tgfb2, Pak1",Sox2+
8,HALLMARK_BILE_ACID_METABOLISM,0.027371454,0.042767897,0.477447736,1.435584278,246,111,"Npc1, Atxn1, Fads2, Aldh1a1, Dhcr24, Fads1, Hsd17b11, Abca1, Gstk1, Aldh9a1, Abcg4, Pfkm, Abca3, Crot, Slc23a2, Cat, Acsl5, Isoc1, Slc35b2, Ar, Abcd3, Idi1, Cyp46a1, Prdx5, Sod1, Gclm, Abcd1, Abca2, Abca6, Pex11a, Hsd3b7, Hsd17b4",Sox2+
9,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.000236239,0.000694821,0.633666304,1.814036605,1,71,"Clu, Anxa5, Aldoc, Fads2, Alcam, Hmgcs1, Ebp, Jag1, Gnai1, Fdps, Cpeb2, Sqle, Nsdhl, Cd9, Errfi1, S100a11, Gusb, Sc5d, Idi1, Tmem97, Mvk, Gldc, Srebf2, Pdk3, Actg1, Abca2, Hmgcr, Fdft1, Gstm7, Lss, Ech1, Lgmn",Sox2+
10,HALLMARK_COAGULATION,0.000108155,0.000664328,0.698397619,2.13636925,0,132,"S100a1, Cpq, F3, Lrp1, Mmp15, Sirt2, Clu, Trf, Mmp2, Dusp6, Sparc, Adam9, Wdr1, Fyn, Timp3, Gng12, P2ry1, Ctsl, Htra1, Plat, Ctsb, Lamp2, Capn2, S100a13, Bmp1, Prss23, Rapgef3, Rac1, Ctso, Pros1, Fbn1, Cd9, Gsn",Sox2+
11,HALLMARK_COMPLEMENT,0.000104319,0.000664328,0.62888186,1.967631283,0,185,"Cpq, F3, Lrp1, Mmp15, Kcnip3, Timp2, Cp, Clu, Dock10, Me1, Dock9, Car2, Pla2g7, Dusp6, Adam9, Anxa5, Fyn, Lyn, Cdh13, Gnb4, Ctsl, Gnai2, Plat, Jak2, Ctsb, Rhog, Lamp2, Spock2, S100a13, Casp4, Mt3, Ctsd, Irf2, Gca, Src, Lipa, Ctso, Sh2b3",Sox2+
12,HALLMARK_DNA_REPAIR,0.790288154,0.823216827,0.26638515,0.821699972,7404,148,"Pde4b, Rev3l, Eif1b, Arl6ip1, Cmpk2, Vps28, Nme3, Smad5, Bcap31, Polr3gl, Dad1, Polr2f, Gtf2h1, Ak3, Cant1, Cda, Aprt, Sec61a1, Ercc3, Nudt9, Sdcbp, Dguok, Stx3, Dctn4, Ak1",Sox2+
13,HALLMARK_E2F_TARGETS,0.401114206,0.466411868,-0.223543397,-1.021207696,143,199,"Stmn1, Ccp110, Cdc25a, Tfrc, Bard1, Prps1, Cdkn1b, Syncrip, Mcm7, Luc7l3, Hells, Mms22l, Timeless, Lsm8, Pola2, Pold3, Nop56, Dck, Nasp, Ezh2, Brca2, Nme1, Gins3, Hnrnpd, Stag1, Pnn, Asf1a, Snrpb, Nup205, Mcm2, Cdc25b, Prkdc, Cbx5, Pole, Mcm3, Pole4, Mcm6, Wdr90, Zw10, Srsf1, Plk4, Ppp1r8, Nup107, Ung, Ppm1d, Ctcf, Ssrp1, Nap1l1, Xpo1, Hmgb2, Lig1, Mybl2, Smc1a, Rad51ap1, Jpt1, Shmt1, Donson, Eed, Mre11a, Ncapd2, Ctps1, Pa2g4, Lmnb1",Sox2+
14,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.000104037,0.000664328,0.609067569,1.908643714,0,193,"Serpine2, Lrp1, Itgav, Tnc, Vcan, Pmp22, Nt5e, Igfbp3, Cdh11, Mmp2, Dab2, Sparc, Prrx1, Abi3bp, Timp3, Cap2, Adam12, Pvr, Tpm1, Plod1, Cdh6, Gja1, Htra1, Fermt2, Sat1, Wipf1, Vegfa, Bmp1, Igfbp2, Sgcb, Lamc1, Itgb1, Efemp2, Aplp1, Fzd8, Sdc4, Ccn1, Fbn2, Pfn2, Igfbp4, Fbn1, Sgcd, Edil3, Tnfrsf11b, Bgn, Col11a1, Vim, Eno2, Ecm2, Dpysl3, Vcam1, Pcolce2, Fuca1, Cd44, Pcolce, Slc6a8, Myl9, Fn1",Sox2+
15,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.000207512,0.000664328,0.554838117,1.740726521,1,197,"Slc1a1, Rab31, Abhd2, Gfra1, Bhlhe40, Il6st, Gab2, Dynlt3, Chpt1, Elovl5, Fos, Slc24a3, Lrig1, Farp1, Gja1, Jak2, Eeig1, Ccnd1, Slc1a4, Slc2a1, Prss23, Abca3, Add3, Sox3, Bcl2, Kazn, Scarb1, Rhobtb3, Asb13, Amfr, Slc16a1, Mybl1, Svil, Mapt, Inpp5f, Igfbp4, Ar, Myc, Mindy1, Rapgefl1, Aldh3b1, Mast4, Sec14l2, Ptges, Sybu, Slc7a2, Cd44, Pdlim3, Snx24, Cant1, Abat, Calb2, Unc119, Fdft1, Xbp1, Wfs1, Ppif, P2ry2, Pex11a, Foxc1, Elf1, Endod1",Sox2+
16,HALLMARK_ESTROGEN_RESPONSE_LATE,0.000207965,0.000664328,0.581913851,1.823497772,1,194,"Ascl1, Rab31, Abhd2, Car2, Cav1, Ugdh, Il6st, Dynlt3, Cxcl14, Chpt1, Sgk1, Elovl5, Fos, Slc24a3, Farp1, Atp2b4, Jak2, Eeig1, Etfb, Ccnd1, Cpe, Slc1a4, Cacna2d2, Large1, Plxnb1, Prss23, Abca3, Add3, Sox3, Bcl2, Scarb1, Emp2, Ckb, Amfr, Slc16a1, Nab2, Fgfr3, Mapt, Tspan13, Igfbp4, Chst8, Cd9, Rapgefl1, Aldh3b1, Ptges, Zfp36, Cdc20, Top2a, Cox6c, Cd44, Pdlim3, Aldh3a2, Fdft1, Kif20a, Xbp1, Wfs1, Ppif, Sord",Sox2+
17,HALLMARK_FATTY_ACID_METABOLISM,0.000212585,0.000664328,0.602300956,1.862467962,1,153,"Cpt1a, Me1, Car2, Acss1, Ugdh, Gpd1, Acot2, Elovl5, Aldh1a1, Acox1, S100a10, Hmgcs1, Ephx1, Dhcr24, Hsd17b11, Eci2, Aldh9a1, Alad, Hpgd, Glul, Mgll, Cbr3, Hccs, Acadl, Acsl5, Nsdhl, Sdha, Gabarapl1, Crat, Serinc1, Idi1, Aco2, Rdh11, Grhpr, Gstz1, Eno2, Maoa, Ldha, Rap1gds1, Hadh, Car4, Idh3b, Bckdhb, Prdx6, Ptprg, Mcee, Hsd17b10, Pcbd1, Bmpr1b, Aldh3a2, Fh1, Ech1, Hadhb, Hsd17b4, Hsdl2, Bphl, Suclg2, Hsd17b7, Hmgcl, Nbn, Cpt2, Idh1, Sdhc, Acadm, Idh3g",Sox2+
18,HALLMARK_G2M_CHECKPOINT,0.984298638,0.984298638,0.204742857,0.641586626,9465,194,"Dmd, Ccnd1, Bcl3, Hus1, Cks2, Sqle, Cdkn2c, Prc1, Smad3, Meis2, Ube2c, Myc, Prpf4b, Aurka, Slc12a2, Plk1, Pbk, Cdc20, Top2a, Nusap1, Kif11, Chmp1a, Prim2, Rbl1, Cdc27, Cdk1, Tent4a, Orc5, Ccnb2, Ccna2, Gspt1, Racgap1, Ndc80, Troap, Pttg1, Tpx2, Hif1a, Sap30, Prmt5, Bub3, Ube2s",Sox2+
19,HALLMARK_GLYCOLYSIS,0.000933029,0.002120521,0.511488278,1.606804273,8,200,"Sdc3, Vcan, Nt5e, Me1, Igfbp3, Tgfa, B3gat1, Agrn, Plod1, Gnpda1, Chst2, Ier3, Irs2, Gal3st1, Vegfa, Aldh9a1, Mpi, Egln3, Mertk, P4ha1, Sdc2, Ugp2, Vldlr, Chst12, Cacna1h, Rragd, Nsdhl, Glrx, Pam, Pfkp, Idua, Gusb, Agl, Hs2st1, Got1, Cyb5a, Pgk1, Aurka, Eno2, Pdk3, Srd5a3, Il13ra1, Pcx, Capn5, B4galt2, Ak3, Ldha, Sod1, Gne, Cd44, B4galt4, Pmm2, Hs6st2, Gmppa, Cdk1, Chst1, Pygb, Akr1a1, Alg1, Kif20a, Ppp2cb, Tpi1, Kdelr3, Chpf, Txn1, Chst5, Lhpp",Sox2+
20,HALLMARK_HEDGEHOG_SIGNALING,0.196393571,0.245491964,-0.352699588,-1.187081192,500,36,"Cdk6, Cdk5r1, Crmp1, Gli1, Slit1, L1cam, Tle1, Ldb1, Hey1",Sox2+
21,HALLMARK_HEME_METABOLISM,0.093059608,0.136852365,0.401701894,1.257677767,892,188,"Rap1gap, Car2, Slc6a9, Arl2bp, Smox, Klf3, Ctsb, Lamp2, Fbxo7, Mboat2, Slc2a1, Tmem9b, Gde1, Alad, Sec14l1, Bsg, Ncoa4, Ccnd3, Cat, Slc7a11, Nek7, Nr3c1, Aldh6a1, Sidt2, Tmcc2, Acsl6, Btrc, Pcx, Add1, Lrp10, Gclm, Aldh1l1, Mpp1, Atg4a, Ell2, Cdc27, Slc6a8, Adipor1, Ucp2, Bach1, Dcun1d1, Asns, Picalm, Slc11a2, Endod1, Fech, Rad23a, Sdcbp, Selenbp1, Arhgef12, Pigq",Sox2+
22,HALLMARK_HYPOXIA,0.000103734,0.000664328,0.595191759,1.868296297,0,198,"Bcan, F3, Cp, Ampd3, Sdc3, Igfbp3, Cav1, Bhlhe40, Ncan, Aldoc, Prkca, Gaa, Ppargc1a, Mt1, Klf6, Chst2, Fos, Ier3, Irs2, Hexa, Dtna, Cavin3, Vegfa, Slc25a1, Wsb1, Lxn, Slc2a1, Cdkn1a, Large1, P4ha1, Akap12, Sdc2, Pygm, Ugp2, Hmox1, Bcl2, Chst3, Scarb1, Ackr3, Vldlr, Sdc4, Ccn1, Rragd, Dusp1, Glrx, Nr3c1, Pam, Pfkp, Fbp1, Ids, Errfi1, Gcnt2, Slc6a6, Bgn, Pgm1, Grhpr, Pgk1, Eno2, Pdk3, Ppp1r3c, Rora, Zfp36, Ldha, Prdx5, Gpi1",Sox2+
23,HALLMARK_IL2_STAT5_SIGNALING,0.000414809,0.001091602,0.51938075,1.631034511,3,199,"S100a1, Itgav, Spry4, Nt5e, Cd81, Car2, Phlda1, Bhlhe40, Csf1, Prnp, Ifitm3, Cxcl10, Klf6, Alcam, Lrig1, Smpdl3a, P2rx4, Dennd5a, Etv4, Tnfrsf21, Syngr2, P4ha1, Syt11, Adam19, Bcl2, Enpp1, Aplp1, Ccnd3, Snx14, Gucy1b1, Cd83, Praf2, Lclat1, Rragd, Wls, Gabarapl1, Myc, Cyfip1, St3gal4, Arl4a, Glipr2, Rora, Itga6, Cd79b, Ifngr1, Cd44, Dcps, Ptch1, Hopx, Ncoa3",Sox2+
24,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.000923361,0.002120521,0.590493798,1.725925535,7,85,"Stat3, Il6st, Csf1, Tnfrsf1a, Cxcl10, Osmr, Cntfr, Csf2ra, Tnfrsf21, Stat1, Hmox1, Il10rb, Myd88, Cd9, Cd38, Il13ra1, Bak1, Cbl, Irf9, Ifngr1, Il15ra, Il1r1, Cd44",Sox2+
25,HALLMARK_INFLAMMATORY_RESPONSE,0.000207512,0.000664328,0.561778405,1.762500696,1,197,"F3, Rnf144b, Itgb8, Scn1b, Slc4a4, P2rx7, Ptpre, Calcrl, Pde4b, Tlr3, Pcdh7, Csf1, Lyn, Pvr, Cxcl10, Klf6, Chst2, Osmr, Axl, Rhog, P2rx4, Tnfaip6, Abca1, Sema4d, Sri, Cdkn1a, Il18, Irak2, Ndp, Hbegf, Has2, Myc, Pdpn, Icam1, Rela, Ripk2, Kcna3, Il15ra, Il1r1, Slc7a2, Adm, Cx3cl1, Atp2c1, Slc31a2, Atp2a2",Sox2+
26,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.010872027,0.020133384,0.521310198,1.541578499,95,94,"Cnp, B2m, Ifi27, Csf1, Ifitm3, Cxcl10, Trim25, Cmpk2, Parp12, Gmpr, Tdrd7, Irf2, Ifit2, Casp8, Wars1, Cd47, Ripk2, Irf9, Trim21, Ifi44, Rsad2, Elf1, Mov10, Tap1, Mvb12a, Gbp3, Trim14, Nmi",Sox2+
27,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.01229679,0.021958554,0.458949272,1.436912058,117,188,"Stat3, B2m, Pde4b, Ifi27, Ifitm3, Cxcl10, Ifnar2, Jak2, Trim25, Tnfaip6, Cmpk2, Casp4, Sri, Cdkn1a, Stat1, Parp12, Tdrd7, Rigi, Myd88, Irf2, Ifit2, Isoc1, Lats2, Pfkp, Arid5b, Casp7, Arl4a, Casp8, Wars1, Peli1, Cd38, Icam1, Vcam1, Ripk2, Irf9, Il15ra, Psmb2, Ncoa3, Sppl2a, Trim21, Psma2, Ifi44, Ripk1, Rnf213, Psmb10, Irf8, Rsad2, H2-DMa, Tap1, Sod2, Hif1a, Gbp3, Ptpn2, Trim14, Nmi",Sox2+
28,HALLMARK_KRAS_SIGNALING_DN,0.172714984,0.221429467,0.378432726,1.185864936,1660,194,"Slc38a3, Sox10, Ptprj, Grid2, Chst2, Sgk1, Cntfr, Itih3, Selenop, Lfng, Igfbp2, Slc16a7, Abcg4, Arhgdig, Krt1, Slc25a23, Fgfr3, Prkn, Idua, Cdkal1, Tcf7l1, Pdk2, Ccdc106, Efhd1",Sox2+
29,HALLMARK_KRAS_SIGNALING_UP,0.000103756,0.000664328,0.628534014,1.971937026,0,197,"Tmem176a, Sparcl1, Spon1, Gabra3, Tmem176b, Tspan7, Gpnmb, Tmem100, Mtmr10, Gucy1a1, Etv5, Scn1b, Igfbp3, Car2, Dusp6, Pcsk1n, Prrx1, Trib2, Prkg2, Apod, Spry2, Cxcl10, Galnt3, Trib1, Plat, Gprc5b, Gfpt2, Csf2ra, Cpe, Ly96, Etv4, Ank, Ano1, Akap12, Dnmbp, Snap91, Adam17, Crot, Vwa5a, Etv1, Hbegf, Glrx, Tspan13",Sox2+
30,HALLMARK_MITOTIC_SPINDLE,0.099554081,0.142220115,0.397853583,1.249397335,959,199,"Cdc42ep1, Prex1, Arhgef3, Ranbp9, Pdlim5, Shroom1, Farp1, Epb41l2, Arl8a, Arhgdia, Plekhg2, Mid1, Cdc42, Rapgef5, Vcl, Shroom2, Sorbs2, Prc1, Capzb, Gsn, Fscn1, Abr, Ect2, Tuba4a, Aurka, Nf1, Plk1, Kif3c, Top2a, Nusap1, Kif11, Ccdc88a, Ophn1, Cdc27, Ywhae, Cdk1, Dlg1, Trio, Ccnb2, Ckap5, Pcgf5, Kifap3, Racgap1, Myh9, Cdk5rap2, Ndc80, Clip2, Cdc42bpa, Anln, Dynll2, Dst, Pxn, Arhgef12, Tpx2, Rasa2, Actn4, Mark4, Csnk1d, Pafah1b1, Hdac6, Abi1, Net1, Rock1, Birc5, Nedd9, Cd2ap, Cdc42ep2, Cep72, Mid1ip1, Arf6, Pcnt",Sox2+
31,HALLMARK_MTORC1_SIGNALING,0.002282631,0.004962242,0.493667294,1.54881167,21,197,"Me1, Bhlhe40, Fads2, Elovl5, Eef1e1, Ccng1, Hmgcs1, Dhcr24, Fads1, Ebp, Sytl2, Ssr1, Slc1a4, Slc2a1, Egln3, Cdkn1a, Hsp90b1, P4ha1, Calr, Skap2, Canx, Add3, Sqle, Vldlr, Slc7a11, Glrx, Cd9, Sdf2l1, Slc6a6, Sc5d, Gtf2h1, Idi1, Tmem97, Psat1, Rdh11, Pgm1, Tuba4a, Got1, Wars1, Pgk1, Aurka, Plk1, Elovl6, Nfkbib, Ldha, Gpi1, Sqstm1, Atp6v1d, Srd5a1, Ctsc, Prdx1, Atp2a2, Hmgcr, Xbp1, Sord, Tpi1, Asns, Cyb5b, Ddit3, Lgmn, Rab1a, Rit1, Fkbp2",Sox2+
32,HALLMARK_MYC_TARGETS_V1,0.945,0.964285714,-0.181835772,-0.825947333,377,191,"Hnrnpu, Ssbp1, Tyms, Pole3, Syncrip, Hdac2, Mcm7, Ilf2, Gnl3, Nop56, Hnrnpc, Srsf3, Rps6, Hnrnpr, Ddx18, Hnrnpa1, Npm1, Nme1, Hnrnpd, Snrpa1, Apex1, Tardbp, Mcm2, Dhx15, Vbp1, Fbl, Cnbp, Hsp90ab1, Rack1, Mcm6, Tomm70a, Sf3a1, Eif4a1, Sf3b3, Trim28, Srsf1, Snrpd1, Eprs1, Erh, Ruvbl2, Rpl22, Hnrnpa2b1, Nap1l1, Serbp1, Prpf31, Xpo1",Sox2+
