pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,Label
HALLMARK_ADIPOGENESIS,2.0733982998133942e-4,6.64328231292517e-4,0.5237460374218345,1.6453111575384785,1,200,,Sox2+
HALLMARK_ALLOGRAFT_REJECTION,0.421217174,0.478655879,0.3310497024576976,1.036474700158281,4041,188,,Sox2+
HALLMARK_ANDROGEN_RESPONSE,1.1325028312570782e-4,6.64328231292517e-4,0.6364641829958646,1.882103023,0,94,,Sox2+
HALLMARK_ANGIOGENESIS,0.050865655616695746,0.077069175,0.5691750222417975,1.4779338399779376,378,36,,Sox2+
HALLMARK_APICAL_JUNCTION,1.0370216737529814e-4,6.64328231292517e-4,0.5979824661637203,1.8778709825677384,0,199,,Sox2+
HALLMARK_APICAL_SURFACE,0.11645862823317463,0.1617480947682981,0.501178554,1.3423216128233748,904,44,,Sox2+
HALLMARK_APOPTOSIS,7.401924500370096e-4,0.001850481,0.5331487644555526,1.6551272780946127,6,161,,Sox2+
HALLMARK_BILE_ACID_METABOLISM,0.027371454,0.042767897,0.4774477363833861,1.435584277613744,246,111,,Sox2+
HALLMARK_CHOLESTEROL_HOMEOSTASIS,2.3623907394283014e-4,6.948208057142064e-4,0.633666304,1.814036604998257,1,71,,Sox2+
HALLMARK_COAGULATION,1.0815487778498811e-4,6.64328231292517e-4,0.6983976193648644,2.136369250052516,0,132,,Sox2+
HALLMARK_COMPLEMENT,1.0431879824744419e-4,6.64328231292517e-4,0.6288818596157402,1.9676312830979557,0,185,,Sox2+
HALLMARK_DNA_REPAIR,0.7902881536819637,0.8232168267520455,0.26638515014637687,0.8216999721641968,7404,148,,Sox2+
HALLMARK_E2F_TARGETS,0.4011142061281337,0.4664118675908532,-0.223543397,-1.021207696,143,199,,Sox2+
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.0403662089055348e-4,6.64328231292517e-4,0.6090675690744779,1.9086437139469814,0,193,,Sox2+
HALLMARK_ESTROGEN_RESPONSE_EARLY,2.0751193193608634e-4,6.64328231292517e-4,0.5548381174439859,1.7407265210320664,1,197,,Sox2+
HALLMARK_ESTROGEN_RESPONSE_LATE,2.079650618696059e-4,6.64328231292517e-4,0.5819138509355564,1.823497771850011,1,194,,Sox2+
HALLMARK_FATTY_ACID_METABOLISM,2.1258503401360543e-4,6.64328231292517e-4,0.6023009558247617,1.8624679621988547,1,153,,Sox2+
HALLMARK_G2M_CHECKPOINT,0.9842986378288447,0.9842986378288447,0.20474285724021243,0.6415866255451589,9465,194,,Sox2+
HALLMARK_GLYCOLYSIS,9.330292349160273e-4,0.002120521,0.5114882779762805,1.6068042726339744,8,200,,Sox2+
HALLMARK_HEDGEHOG_SIGNALING,0.1963935711485692,0.2454919639357115,-0.352699588,-1.187081192,500,36,,Sox2+
HALLMARK_HEME_METABOLISM,0.093059608,0.13685236495598657,0.40170189449113436,1.2576777672800195,892,188,,Sox2+
HALLMARK_HYPOXIA,1.037344398340249e-4,6.64328231292517e-4,0.5951917594117994,1.8682962969802996,0,198,,Sox2+
HALLMARK_IL2_STAT5_SIGNALING,4.1480866950119257e-4,0.001091602,0.5193807499662744,1.6310345109665858,3,199,,Sox2+
HALLMARK_IL6_JAK_STAT3_SIGNALING,9.233610341643582e-4,0.002120521,0.5904937980651765,1.725925535310581,7,85,,Sox2+
HALLMARK_INFLAMMATORY_RESPONSE,2.0751193193608634e-4,6.64328231292517e-4,0.561778405,1.7625006960886835,1,197,,Sox2+
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.010872027,0.020133384,0.521310198,1.5415784988176406,95,94,,Sox2+
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.012296790329303876,0.021958554,0.45894927225536897,1.4369120582717625,117,188,,Sox2+
HALLMARK_KRAS_SIGNALING_DN,0.1727149838827077,0.22142946651629195,0.3784327255778398,1.1858649364968268,1660,194,,Sox2+
HALLMARK_KRAS_SIGNALING_UP,1.0375596596804317e-4,6.64328231292517e-4,0.6285340137782016,1.9719370258747697,0,197,,Sox2+
HALLMARK_MITOTIC_SPINDLE,0.099554081,0.14222011525755174,0.397853583,1.2493973349546068,959,199,,Sox2+
HALLMARK_MTORC1_SIGNALING,0.002282631,0.004962242,0.4936672941718961,1.548811670492184,21,197,,Sox2+
HALLMARK_MYC_TARGETS_V1,0.945,0.9642857142857143,-0.181835772,-0.825947333,377,191,,Sox2+
HALLMARK_MYC_TARGETS_V2,0.3603949533735601,0.4290416111590001,-0.279126826,-1.045849937,656,58,,Sox2+
HALLMARK_MYOGENESIS,2.0751193193608634e-4,6.64328231292517e-4,0.5897475916381323,1.850250084130036,1,197,,Sox2+
HALLMARK_NOTCH_SIGNALING,0.003275109,0.006823144,0.6903194365097798,1.764483372013654,23,32,,Sox2+
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.083984578514119e-4,6.64328231292517e-4,0.5774247344116691,1.8089242270886765,1,192,,Sox2+
HALLMARK_P53_PATHWAY,0.021258944,0.035431574,0.4416935378281503,1.3870698972101259,204,199,,Sox2+
HALLMARK_PANCREAS_BETA_CELLS,0.015245158632056036,0.026284756262165577,-0.459400082,-1.577839036,36,39,,Sox2+
HALLMARK_PEROXISOME,0.027250390886754523,0.042767897,0.48305533297931824,1.4422505233988718,243,103,,Sox2+
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.1349091314527818,0.18230963709835377,0.4203630799368814,1.257082675520134,1209,105,,Sox2+
HALLMARK_PROTEIN_SECRETION,0.006908267,0.013285129,0.5341573420552442,1.5795690863522067,60,94,,Sox2+
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.15225871398011828,0.2003404131317346,0.47130404420591054,1.2823731332540147,1209,48,,Sox2+
HALLMARK_SPERMATOGENESIS,0.5506072874493927,0.5857524334568007,-0.223089968,-0.968007326,407,134,,Sox2+
HALLMARK_TGF_BETA_SIGNALING,0.5392461748973753,0.5857524334568007,0.3469093220069605,0.954662375,4334,53,,Sox2+
HALLMARK_TNFA_SIGNALING_VIA_NFKB,2.0766275568476794e-4,6.64328231292517e-4,0.5841552707524181,1.8321501140993273,1,196,,Sox2+
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.45927652019529513,0.5103072446614391,0.33783976130463544,1.0145341858167756,4138,110,,Sox2+
HALLMARK_UV_RESPONSE_DN,3.2202662086732505e-4,8.945183912981252e-4,0.5735404787803481,1.7641701708387616,2,143,,Sox2+
HALLMARK_UV_RESPONSE_UP,0.00424854,0.008497079,0.49889136813096496,1.5432598819358274,39,154,,Sox2+
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.2413837950318637,0.29437048174617525,0.44843711792255725,1.1922884025571998,1855,42,,Sox2+
HALLMARK_XENOBIOTIC_METABOLISM,2.0781379883624273e-4,6.64328231292517e-4,0.5876016721193995,1.8419552416015932,1,195,,Sox2+
