pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,Label
HALLMARK_ADIPOGENESIS,2.0733982998133942e-4,6.64328231292517e-4,0.5237460374218345,1.6453111575384785,1,200,,Sox2+
HALLMARK_ANDROGEN_RESPONSE,1.1325028312570782e-4,6.64328231292517e-4,0.6364641829958646,1.88210302260847,0,94,,Sox2+
HALLMARK_APICAL_JUNCTION,1.0370216737529814e-4,6.64328231292517e-4,0.5979824661637203,1.8778709825677384,0,199,,Sox2+
HALLMARK_APOPTOSIS,7.401924500370096e-4,0.001850481125092524,0.5331487644555526,1.6551272780946127,6,161,,Sox2+
HALLMARK_BILE_ACID_METABOLISM,0.02737145390070922,0.04276789671985816,0.4774477363833861,1.435584277613744,246,111,,Sox2+
HALLMARK_CHOLESTEROL_HOMEOSTASIS,2.3623907394283014e-4,6.948208057142064e-4,0.633666304381275,1.814036604998257,1,71,,Sox2+
HALLMARK_COAGULATION,1.0815487778498811e-4,6.64328231292517e-4,0.6983976193648644,2.136369250052516,0,132,,Sox2+
HALLMARK_COMPLEMENT,1.0431879824744419e-4,6.64328231292517e-4,0.6288818596157402,1.9676312830979557,0,185,,Sox2+
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.0403662089055348e-4,6.64328231292517e-4,0.6090675690744779,1.9086437139469814,0,193,,Sox2+
HALLMARK_ESTROGEN_RESPONSE_EARLY,2.0751193193608634e-4,6.64328231292517e-4,0.5548381174439859,1.7407265210320664,1,197,,Sox2+
HALLMARK_ESTROGEN_RESPONSE_LATE,2.079650618696059e-4,6.64328231292517e-4,0.5819138509355564,1.823497771850011,1,194,,Sox2+
HALLMARK_FATTY_ACID_METABOLISM,2.1258503401360543e-4,6.64328231292517e-4,0.6023009558247617,1.8624679621988547,1,153,,Sox2+
HALLMARK_GLYCOLYSIS,9.330292349160273e-4,0.0021205209884455167,0.5114882779762805,1.6068042726339744,8,200,,Sox2+
HALLMARK_HYPOXIA,1.037344398340249e-4,6.64328231292517e-4,0.5951917594117994,1.8682962969802996,0,198,,Sox2+
HALLMARK_IL2_STAT5_SIGNALING,4.1480866950119257e-4,0.0010916017618452438,0.5193807499662744,1.6310345109665858,3,199,,Sox2+
HALLMARK_IL6_JAK_STAT3_SIGNALING,9.233610341643582e-4,0.0021205209884455167,0.5904937980651765,1.725925535310581,7,85,,Sox2+
HALLMARK_INFLAMMATORY_RESPONSE,2.0751193193608634e-4,6.64328231292517e-4,0.561778404819022,1.7625006960886835,1,197,,Sox2+
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.01087202718006795,0.0201333836667925,0.521310198213347,1.5415784988176406,95,94,,Sox2+
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.012296790329303876,0.02195855415947121,0.45894927225536897,1.4369120582717625,117,188,,Sox2+
HALLMARK_KRAS_SIGNALING_UP,1.0375596596804317e-4,6.64328231292517e-4,0.6285340137782016,1.9719370258747697,0,197,,Sox2+
HALLMARK_MTORC1_SIGNALING,0.0022826312512969496,0.004962241850645543,0.4936672941718961,1.548811670492184,21,197,,Sox2+
HALLMARK_MYOGENESIS,2.0751193193608634e-4,6.64328231292517e-4,0.5897475916381323,1.850250084130036,1,197,,Sox2+
HALLMARK_NOTCH_SIGNALING,0.0032751091703056767,0.006823144104803494,0.6903194365097798,1.764483372013654,23,32,,Sox2+
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.083984578514119e-4,6.64328231292517e-4,0.5774247344116691,1.8089242270886765,1,192,,Sox2+
HALLMARK_P53_PATHWAY,0.02125894431193612,0.03543157385322687,0.4416935378281503,1.3870698972101259,204,199,,Sox2+
HALLMARK_PEROXISOME,0.027250390886754523,0.04276789671985816,0.48305533297931824,1.4422505233988718,243,103,,Sox2+
HALLMARK_PROTEIN_SECRETION,0.006908267270668176,0.01328512936666957,0.5341573420552442,1.5795690863522067,60,94,,Sox2+
HALLMARK_TNFA_SIGNALING_VIA_NFKB,2.0766275568476794e-4,6.64328231292517e-4,0.5841552707524181,1.8321501140993273,1,196,,Sox2+
HALLMARK_UV_RESPONSE_DN,3.2202662086732505e-4,8.945183912981252e-4,0.5735404787803481,1.7641701708387616,2,143,,Sox2+
HALLMARK_UV_RESPONSE_UP,0.004248539564524694,0.008497079129049389,0.49889136813096496,1.5432598819358274,39,154,,Sox2+
HALLMARK_XENOBIOTIC_METABOLISM,2.0781379883624273e-4,6.64328231292517e-4,0.5876016721193995,1.8419552416015932,1,195,,Sox2+
