"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-112316","R-MMU-112316","Neuronal System","29/217","319/8691",0.0909090909090909,3.64097193129451,7.69024263561257,1.21261863368607e-09,6.19648121813583e-07,5.39934402157062e-07,"Cacng4/Kcnj10/Nlgn3/Slc1a1/Gria3/Grm5/Gabra3/Slc6a1/Grik3/Gabbr2/Chrna4/Tspan7/Slc1a3/Grin3a/Slitrk3/Kcnj16/Slitrk2/Chrna3/Nrxn3/Il1rap/Lrrtm3/Gria1/Prkca/Ppfibp1/Gabrg3/Kcna1/Kcna2/Kcnd2/Slc6a11",29
"R-MMU-1971475","R-MMU-1971475","A tetrasaccharide linker sequence is required for GAG synthesis","8/217","23/8691",0.347826086956522,13.9306752153877,9.93621992592393,4.71607355735311e-08,1.20495679390372e-05,1.04994690250546e-05,"Cspg5/Xylt1/Bcan/Cspg4/Sdc3/Ncan/B3gat2/Gpc5",8
"R-MMU-1793185","R-MMU-1793185","Chondroitin sulfate/dermatan sulfate metabolism","10/217","46/8691",0.217391304347826,8.70667200961731,8.386076473702,1.42199345665497e-07,2.42212885450229e-05,2.11053765671948e-05,"Cspg5/Xylt1/Bcan/Cspg4/Chst11/Arsb/Sdc3/Ncan/B3gat2/Gpc5",10
"R-MMU-112315","R-MMU-112315","Transmission across Chemical Synapses","18/217","199/8691",0.0904522613065327,3.62267558993122,5.98910110829632,2.19403907516102e-06,0.00028028849185182,0.000244231191787661,"Cacng4/Kcnj10/Slc1a1/Gria3/Gabra3/Slc6a1/Grik3/Gabbr2/Chrna4/Tspan7/Slc1a3/Grin3a/Kcnj16/Chrna3/Gria1/Prkca/Gabrg3/Slc6a11",18
"R-MMU-6794362","R-MMU-6794362","Protein-protein interactions at synapses","10/217","65/8691",0.153846153846154,6.1616448068061,6.6839869369795,4.12526443294543e-06,0.000421602025047023,0.000367365653712825,"Nlgn3/Gria3/Grm5/Slitrk3/Slitrk2/Nrxn3/Il1rap/Lrrtm3/Gria1/Ppfibp1",10
"R-MMU-2024101","R-MMU-2024101","CS/DS degradation","5/217","12/8691",0.416666666666667,16.6877880184332,8.70187852566445,6.36276819238029e-06,0.000506171338572887,0.000441055672502485,"Cspg5/Bcan/Cspg4/Arsb/Ncan",5
"R-MMU-112314","R-MMU-112314","Neurotransmitter receptors and postsynaptic signal transmission","14/217","136/8691",0.102941176470588,4.12286527514232,5.87365212289697,6.93385395305324e-06,0.000506171338572887,0.000441055672502485,"Cacng4/Kcnj10/Gria3/Gabra3/Grik3/Gabbr2/Chrna4/Tspan7/Grin3a/Kcnj16/Chrna3/Gria1/Prkca/Gabrg3",14
"R-MMU-1638091","R-MMU-1638091","Heparan sulfate/heparin (HS-GAG) metabolism","8/217","52/8691",0.153846153846154,6.1616448068061,5.97383985314368,3.8791561646177e-05,0.00247781100014955,0.00215905665478064,"Cspg5/Xylt1/Bcan/Cspg4/Sdc3/Ncan/B3gat2/Gpc5",8
"R-MMU-3000178","R-MMU-3000178","ECM proteoglycans","7/217","42/8691",0.166666666666667,6.67511520737327,5.89945515663984,7.0419676220003e-05,0.00360497495235022,0.00314121826108588,"Bcan/Tnr/Itgav/Matn4/Ncan/Sparc/Tnc",7
"R-MMU-2022923","R-MMU-2022923","Dermatan sulfate biosynthesis","4/217","10/8691",0.4,16.0202764976959,7.60481361664718,7.05474550362078e-05,0.00360497495235022,0.00314121826108588,"Cspg5/Bcan/Cspg4/Ncan",4
"R-MMU-2022870","R-MMU-2022870","Chondroitin sulfate biosynthesis","5/217","19/8691",0.263157894736842,10.5396555905894,6.6610913083636,8.09611170709854e-05,0.00376101189302487,0.0032771820594284,"Cspg5/Bcan/Cspg4/Chst11/Ncan",5
"R-MMU-1474244","R-MMU-1474244","Extracellular matrix organization","17/217","241/8691",0.0705394190871369,2.82515249440695,4.59806226956407,0.00010653326059811,0.00446837698423554,0.00389354921069448,"Bcan/Tnr/Jam2/Itgav/Sdc3/Matn4/Bmp7/Itgb8/Mmp16/Mmp15/Ncan/Mmp2/Prkca/P3h2/Sparc/Tnc/Bmp4",17
"R-MMU-8957275","R-MMU-8957275","Post-translational protein phosphorylation","11/217","113/8691",0.0973451327433628,3.89873985563395,4.96307648307422,0.000113676909579378,0.00446837698423554,0.00389354921069448,"Sparcl1/Cp/Igfbp3/C4b/Trf/Igfbp7/Mfge8/Apoe/Tnc/Cst3/Bmp4",11
"R-MMU-381426","R-MMU-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","11/217","119/8691",0.092436974789916,3.70216473686249,4.74941092580587,0.000180862014720127,0.00660146353728464,0.00575222798696344,"Sparcl1/Cp/Igfbp3/C4b/Trf/Igfbp7/Mfge8/Apoe/Tnc/Cst3/Bmp4",11
"R-MMU-416993","R-MMU-416993","Trafficking of GluR2-containing AMPA receptors","4/217","15/8691",0.266666666666667,10.6801843317972,6.00433632204697,0.000415564478766176,0.0141568965766344,0.0123357034749539,"Gria3/Tspan7/Gria1/Prkca",4
"R-MMU-399719","R-MMU-399719","Trafficking of AMPA receptors","5/217","28/8691",0.178571428571429,7.15190915075708,5.21735390756931,0.00056973954958206,0.0171257005786137,0.0149225900602608,"Cacng4/Gria3/Tspan7/Gria1/Prkca",5
"R-MMU-399721","R-MMU-399721","Glutamate binding, activation of AMPA receptors and synaptic plasticity","5/217","28/8691",0.178571428571429,7.15190915075708,5.21735390756931,0.00056973954958206,0.0171257005786137,0.0149225900602608,"Cacng4/Gria3/Tspan7/Gria1/Prkca",5
"R-MMU-1630316","R-MMU-1630316","Glycosaminoglycan metabolism","10/217","119/8691",0.0840336134453782,3.36560430623862,4.15786157850186,0.000758896136661951,0.0215442181019032,0.0187726939069009,"Cspg5/Xylt1/Bcan/Cspg4/Chst11/Arsb/Sdc3/Ncan/B3gat2/Gpc5",10
"R-MMU-425393","R-MMU-425393","Transport of inorganic cations/anions and amino acids/oligopeptides","9/217","101/8691",0.0891089108910891,3.56887347720947,4.15529962795497,0.000912019170313725,0.0245285155805428,0.0213730808333909,"Slc38a3/Slc9a9/Slc1a1/Slc7a3/Slc1a3/Slc12a4/Slc25a18/Slc17a6/Slc4a4",9
"R-MMU-388844","R-MMU-388844","Receptor-type tyrosine-protein phosphatases","4/217","19/8691",0.210526315789474,8.4317244724715,5.18922248498853,0.00109095287242962,0.0278738458905767,0.0242880560546172,"Slitrk3/Slitrk2/Il1rap/Ppfibp1",4
"R-MMU-422475","R-MMU-422475","Axon guidance","15/217","247/8691",0.0607287449392713,2.43222821321293,3.65411418486452,0.00129882925775706,0.0300463781272947,0.0261811060826978,"Dscam/Rap1gap/Shc3/Itgav/Dnm1/Gfra1/Ncam1/Mmp2/Pik3r1/Prkca/Dnm3/Reln/Nfasc/Plxnb3/Fyn",15
"R-MMU-201556","R-MMU-201556","Signaling by ALK","4/217","20/8691",0.2,8.01013824884793,5.02229840190964,0.00133724900534528,0.0300463781272947,0.0261811060826978,"Ptprz1/Stat3/Ptn/Pik3r1",4
"R-MMU-9675108","R-MMU-9675108","Nervous system development","15/217","248/8691",0.0604838709677419,2.42242084138546,3.63664642072817,0.00135238101160035,0.0300463781272947,0.0261811060826978,"Dscam/Rap1gap/Shc3/Itgav/Dnm1/Gfra1/Ncam1/Mmp2/Pik3r1/Prkca/Dnm3/Reln/Nfasc/Plxnb3/Fyn",15
"R-MMU-425407","R-MMU-425407","SLC-mediated transmembrane transport","14/217","224/8691",0.0625,2.50316820276498,3.64722314286734,0.00142832987467959,0.0304115235817197,0.0264992779381346,"Slc38a3/Slc9a9/Slc1a1/Slc6a9/Slc7a3/Cp/Slc6a1/Slc1a3/Slc12a4/Slc25a18/Slc17a6/Slc4a4/Slc14a1/Slc6a11",14
"R-MMU-8964058","R-MMU-8964058","HDL remodeling","3/217","10/8691",0.3,12.0152073732719,5.57703441979252,0.00161803754302404,0.0330726873794113,0.0288181002399649,"Abcg1/Lcat/Apoe",3
"R-MMU-8853659","R-MMU-8853659","RET signaling","5/217","38/8691",0.131578947368421,5.26982779529469,4.22099008286779,0.00237652812752911,0.0467079181987453,0.0406992468803569,"Rap1gap/Shc3/Gfra1/Pik3r1/Prkca",5
