"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-112316","R-MMU-112316","Neuronal System","28/214","319/8691",0.0877742946708464,3.56470278030059,7.41503930804423,3.85971696264826e-09,1.97231536791326e-06,1.73484120321138e-06,"Cacng4/Kcnj10/Nlgn3/Slc1a1/Gria3/Grm5/Gabra3/Slc6a1/Grik3/Gabbr2/Chrna4/Tspan7/Slc1a3/Grin3a/Slitrk3/Kcnj16/Slitrk2/Nrxn3/Il1rap/Lrrtm3/Gria1/Prkca/Ppfibp1/Gabrg3/Kcna1/Kcna2/Kcnd2/Slc6a11",28
"R-MMU-1971475","R-MMU-1971475","A tetrasaccharide linker sequence is required for GAG synthesis","8/214","23/8691",0.347826086956522,14.1259650548557,10.0145489507692,4.23102951025529e-08,1.08102803987023e-05,9.50868210988953e-06,"Cspg5/Xylt1/Bcan/Cspg4/Sdc3/Ncan/B3gat2/Gpc5",8
"R-MMU-1793185","R-MMU-1793185","Chondroitin sulfate/dermatan sulfate metabolism","10/214","46/8691",0.217391304347826,8.82872815928484,8.45830445556103,1.24776130010681e-07,2.12535341451526e-05,1.86945289524774e-05,"Cspg5/Xylt1/Bcan/Cspg4/Chst11/Arsb/Sdc3/Ncan/B3gat2/Gpc5",10
"R-MMU-6794362","R-MMU-6794362","Protein-protein interactions at synapses","10/214","65/8691",0.153846153846154,6.24802300503235,6.74750732767686,3.64164610670426e-06,0.000465220290131469,0.000409206023042821,"Nlgn3/Gria3/Grm5/Slitrk3/Slitrk2/Nrxn3/Il1rap/Lrrtm3/Gria1/Ppfibp1",10
"R-MMU-2024101","R-MMU-2024101","CS/DS degradation","5/214","12/8691",0.416666666666667,16.9217289719626,8.76883077656652,5.94321994292579e-06,0.000607397078167016,0.000534264192764066,"Cspg5/Bcan/Cspg4/Arsb/Ncan",5
"R-MMU-112315","R-MMU-112315","Transmission across Chemical Synapses","17/214","199/8691",0.085427135678392,3.46937960832198,5.59893062485432,7.61671759026259e-06,0.00064869044810403,0.000570585686147741,"Cacng4/Kcnj10/Slc1a1/Gria3/Gabra3/Slc6a1/Grik3/Gabbr2/Chrna4/Tspan7/Slc1a3/Grin3a/Kcnj16/Gria1/Prkca/Gabrg3/Slc6a11",17
"R-MMU-112314","R-MMU-112314","Neurotransmitter receptors and postsynaptic signal transmission","13/214","136/8691",0.0955882352941176,3.8820437053326,5.38214870741651,2.84823057370249e-05,0.00207920831880282,0.0018288638420616,"Cacng4/Kcnj10/Gria3/Gabra3/Grik3/Gabbr2/Chrna4/Tspan7/Grin3a/Kcnj16/Gria1/Prkca/Gabrg3",13
"R-MMU-1638091","R-MMU-1638091","Heparan sulfate/heparin (HS-GAG) metabolism","8/214","52/8691",0.153846153846154,6.24802300503235,6.03061145443688,3.51153788410066e-05,0.0022429948234693,0.00197292983751445,"Cspg5/Xylt1/Bcan/Cspg4/Sdc3/Ncan/B3gat2/Gpc5",8
"R-MMU-3000178","R-MMU-3000178","ECM proteoglycans","7/214","42/8691",0.166666666666667,6.76869158878505,5.95408048370722,6.44782547698678e-05,0.00341412553432574,0.00300305202009907,"Bcan/Tnr/Itgav/Matn4/Ncan/Sparc/Tnc",7
"R-MMU-2022923","R-MMU-2022923","Dermatan sulfate biosynthesis","4/214","10/8691",0.4,16.2448598130841,7.66362490824407,6.68126327656701e-05,0.00341412553432574,0.00300305202009907,"Cspg5/Bcan/Cspg4/Ncan",4
"R-MMU-2022870","R-MMU-2022870","Chondroitin sulfate biosynthesis","5/214","19/8691",0.263157894736842,10.6874077717659,6.71615066282575,7.57765859989597e-05,0.00352016685867895,0.00309632557144075,"Cspg5/Bcan/Cspg4/Chst11/Ncan",5
"R-MMU-1474244","R-MMU-1474244","Extracellular matrix organization","17/214","241/8691",0.0705394190871369,2.86475743591732,4.66442589546275,8.97188226269852e-05,0.00382052653019912,0.00336052081243181,"Bcan/Tnr/Jam2/Itgav/Sdc3/Matn4/Bmp7/Itgb8/Mmp16/Mmp15/Ncan/Mmp2/Prkca/P3h2/Sparc/Tnc/Bmp4",17
"R-MMU-8957275","R-MMU-8957275","Post-translational protein phosphorylation","11/214","113/8691",0.0973451327433628,3.95339508725498,5.02069029287088,0.00010039770657067,0.00394640215827788,0.00347124054296973,"Sparcl1/Cp/Igfbp3/C4b/Trf/Igfbp7/Mfge8/Apoe/Tnc/Cst3/Bmp4",11
"R-MMU-381426","R-MMU-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","11/214","119/8691",0.092436974789916,3.75406424251944,4.8062034341229,0.000160035400626933,0.00584129212288305,0.00513797865170679,"Sparcl1/Cp/Igfbp3/C4b/Trf/Igfbp7/Mfge8/Apoe/Tnc/Cst3/Bmp4",11
"R-MMU-416993","R-MMU-416993","Trafficking of GluR2-containing AMPA receptors","4/214","15/8691",0.266666666666667,10.8299065420561,6.0538398799198,0.000394111854977724,0.0134260771929078,0.0118095271631922,"Gria3/Tspan7/Gria1/Prkca",4
"R-MMU-399719","R-MMU-399719","Trafficking of AMPA receptors","5/214","28/8691",0.178571428571429,7.25216955941255,5.26467164225549,0.000534636784183086,0.0160705527480916,0.0141355979471318,"Cacng4/Gria3/Tspan7/Gria1/Prkca",5
"R-MMU-399721","R-MMU-399721","Glutamate binding, activation of AMPA receptors and synaptic plasticity","5/214","28/8691",0.178571428571429,7.25216955941255,5.26467164225549,0.000534636784183086,0.0160705527480916,0.0141355979471318,"Cacng4/Gria3/Tspan7/Gria1/Prkca",5
"R-MMU-1630316","R-MMU-1630316","Glycosaminoglycan metabolism","10/214","119/8691",0.0840336134453782,3.41278567501767,4.21062755836954,0.00068129791588657,0.0193412908343354,0.0170125269054717,"Cspg5/Xylt1/Bcan/Cspg4/Chst11/Arsb/Sdc3/Ncan/B3gat2/Gpc5",10
"R-MMU-388844","R-MMU-388844","Receptor-type tyrosine-protein phosphatases","4/214","19/8691",0.210526315789474,8.54992621741269,5.23426319651235,0.00103577731394278,0.0278569582855138,0.0245028760694498,"Slitrk3/Slitrk2/Il1rap/Ppfibp1",4
"R-MMU-201556","R-MMU-201556","Signaling by ALK","4/214","20/8691",0.2,8.12242990654206,5.0664559607993,0.00126996568340371,0.0324476232109648,0.0285408077270203,"Ptprz1/Stat3/Ptn/Pik3r1",4
"R-MMU-8964058","R-MMU-8964058","HDL remodeling","3/214","10/8691",0.3,12.1836448598131,5.62204312558256,0.00155439702908922,0.037823661041171,0.0332695504471728,"Abcg1/Lcat/Apoe",3
